,Query,Target,Stance,data_type
16,[CLS] @realdonaldtrump  i like mexicans who come to us legally.  #istandwithtrump #semst [SEP] ,donald trump,1,testB
17,[CLS] we need obama out and @realdonaldtrump in the white house asap #semst [SEP] ,donald trump,1,testB
18,[CLS] rt @tone_rowdy: how can this country move on from its racist past when it's leaders won't... #ourlivesmatter #semst [SEP] ,donald trump,2,testB
19,[CLS] dear @realdonaldtrump: you are an idiot. #america #politics #sticktoyourhair #semst [SEP] ,donald trump,0,testB
20,[CLS] @alexisgoldstein @alexfrangos #businessmatters @bbcworldbiz @bbcworldservice midnight gmt #grexit #obamacare #ironmaiden #semst [SEP] ,donald trump,2,testB
21,[CLS] donald trump inhaled so much air spray & started to believe he is the title holder for the united states. #semst [SEP] ,donald trump,0,testB
22,[CLS] the leftist liberals are starting an internal war within america. #semst [SEP] ,donald trump,2,testB
23,[CLS] .@realdonaldtrump should've kept his mouth shut & not run for pres. he is making the biggest fool out of himself. he's fired #semst [SEP] ,donald trump,0,testB
24,"[CLS] for those that are not aware, there is a difference between corporate and personal bankruptcy. look of chapter 11 bankruptcy. #semst [SEP] ",donald trump,2,testB
25,[CLS] @peddoc63 @realdonaldtrump so i guess univision is fair & balanced. these are the people that r helping shape usa! #semst [SEP] ,donald trump,0,testB
26,"[CLS] #presidentialelection2016  make plans to help your future now, so that later you don't regret it, again! vote @realdonaldtrump #semst [SEP] ",donald trump,1,testB
27,[CLS] @rebeksy well that's just crazy! why work? #howdidwegethere #shameful #semst [SEP] ,donald trump,2,testB
28,"[CLS] @realdonaldtrump you know that middle class is latino's, right? you just shitted all over that working class you claim to need. #semst [SEP] ",donald trump,0,testB
29,[CLS] i am not sure who is coming from other countries but i will assume they must be bad cause i am rich. #semst [SEP] ,donald trump,2,testB
30,"[CLS] @blisstabitha no, stand up for america, fiscal responsibility, strong defense, less transfer of wealth, less government. #semst [SEP] ",donald trump,2,testB
31,[CLS] rt @ahmedthebanker: let's not forget @realdonaldtrump lost money running a casino. #semst [SEP] ,donald trump,0,testB
32,[CLS] the media gathered the public like sheep over the rebel flag debate the government passed the fast track authority google it #semst [SEP] ,donald trump,2,testB
33,"[CLS] @realdonaldtrump did not apply to immigrants one of the trade basis, win to win. ignorance can not be excuse #semst [SEP] ",donald trump,0,testB
34,"[CLS] beheading attack at company in france is terrorism,but beheading and attack at company in ok is work place violence. #tcot #semst [SEP] ",donald trump,2,testB
35,"[CLS] hosea 4:8  they eat up the sin of my people, and they set their heart on their iniquity.  #pastors #christians  #repent #semst [SEP] ",donald trump,2,testB
36,[CLS] isis celebrates islam with 3 terror attacks overseas. bo wants 2 disarm americans so isis can mow us down at will. #tcot #semst [SEP] ,donald trump,2,testB
37,[CLS] @kilmeade @briankilmeade obviously military industrial complex has an interest in sustained conflict war=sales #libertarian #semst [SEP] ,donald trump,2,testB
38,[CLS] @scotus creates another right in the constitution. we are living under tyranny. the will of the people is no longer! #semst [SEP] ,donald trump,2,testB
39,"[CLS] #scotus rules they can rule anything they damn well please, regardless of we the people. welcome to #tyranny.   #usa #semst [SEP] ",donald trump,2,testB
40,[CLS] i don't even recognize america anymore. #scary #semst [SEP] ,donald trump,2,testB
41,[CLS] sad day america...what is going on? #lnyhbt #semst [SEP] ,donald trump,2,testB
42,[CLS] the country's fucked but we can marry!! woo hoo! #semst [SEP] ,donald trump,2,testB
43,[CLS] this fight isn't over! #obamacare is obviously broken & it increases health care costs for millions of americans. #scotuscare #semst [SEP] ,donald trump,2,testB
44,[CLS] there is a fine line between right and damnation  and in my opinion the us is going down the wrong damn road #votethemallout #semst [SEP] ,donald trump,2,testB
45,"[CLS] @ac360 @barbarastarrcnn erasing history will not cure the hatred heart, it only takes one person to stir the fires #ccot #semst [SEP] ",donald trump,2,testB
46,[CLS] it's #ff and i need more videogame & political followers -- please no eggs or communists :-). everyone else i'll followback!  #semst [SEP] ,donald trump,2,testB
47,[CLS] @blisstabitha what to hell is going on! really scary.. nothing sacred anymore! #semst [SEP] ,donald trump,2,testB
48,"[CLS] obviously, the decision was made on june 26th because it's the closest they could get to 6/66 within the month of june, #tcot #semst [SEP] ",donald trump,2,testB
49,"[CLS] i know this is super dorky, but i really hope i get my acct back in time for #cashinin tom.   @professorf @jonathanhoenig   #semst [SEP] ",donald trump,2,testB
50,[CLS] i'm offended @hillaryclinton is not in prison & i'm offended  hasn't started 2 #impeachobama now @barackobama  #semst [SEP] ,donald trump,2,testB
51,[CLS] trump for prez he couldn't do any worse so give him a shot #semst [SEP] ,donald trump,1,testB
52,[CLS] @toddstarnes marriage is designed and defined by god. no mortal man can change it. praying for our country  #ccot #pjnet #semst [SEP] ,donald trump,2,testB
53,"[CLS] you can change the laws of america, but you can never change the law of god. marriage is between a man and a woman. #semst [SEP] ",donald trump,2,testB
54,[CLS] @appsame  obama and hillary and ordoughan and the khomeinians and mb and isis are all serving the freemasonry  #semst [SEP] ,donald trump,2,testB
55,[CLS] @realdonaldtrump no more bush or hillary clinton #semst [SEP] ,donald trump,1,testB
56,[CLS] been slacking on my @realdonaldtrump retweets.. had some catching up to do .. #trumpforpresident #semst [SEP] ,donald trump,1,testB
57,[CLS] healthcare in america must be fixed. women are everything.  #teamjason  #semst [SEP] ,donald trump,2,testB
58,"[CLS] american's, do you think we are headed in a positive direction? #usaguard #opact #semst [SEP] ",donald trump,2,testB
59,"[CLS] the moment you opened your mouth,  that was the end of your candidate trip! @realdonaldtrump #semst [SEP] ",donald trump,0,testB
60,[CLS] and how many  #latinos enemies you gained in 1 week? 50 million!! @realdonaldtrump #semst [SEP] ,donald trump,0,testB
61,[CLS] they only did they gay marriage thing to get our attention off of all the shootings lately...  #semst [SEP] ,donald trump,2,testB
62,[CLS] @tommyhubb @mikemckenna19 @scully64 @jhodnot @sandrahartle carrying  guns #semst [SEP] ,donald trump,2,testB
63,"[CLS] @mtngma @crossbearer1956 @carminezozzora aren't they, though #semst [SEP] ",donald trump,2,testB
64,[CLS] i almost got myself grounded for not agreeing with my parents on marriage equality. #usisnotatheocracy #semst [SEP] ,donald trump,2,testB
65,"[CLS] if my only impression of the us was donald trump, i think i would hate it. #semst [SEP] ",donald trump,0,testB
66,[CLS] they legalized gay marriage???!!!  what's next?!?!? crack?!!!?  #semst [SEP] ,donald trump,2,testB
67,[CLS] states have already decided how they felt about this based off the wills of their people! give them their rights back! #semst [SEP] ,donald trump,2,testB
68,[CLS] the whitehouse displaying rainbow colors...are you shitting me? #semst [SEP] ,donald trump,2,testB
69,[CLS] you're combover looks like the cupacabra  guillermo @jimmykimmel so funny #semst [SEP] ,donald trump,0,testB
70,"[CLS] supreme court on the constitution's we the people...""it depends on what you mean by 'we'. #scotus #scotuscare #semst [SEP] ",donald trump,2,testB
71,[CLS] tyranny in full bloom with legislative editor and @chiefjusticejr court freedom hanging by thread @rednationrising #liberty #semst [SEP] ,donald trump,2,testB
72,[CLS] @xmoraldk glad we have each other on twitter along with our home/community lives. you guys rock! #beblessed #semst [SEP] ,donald trump,2,testB
73,"[CLS] so gays can get married, but i still can't legally own a pet monkey in the usa -.- #thisiswhatswrongwiththeworld #semst [SEP] ",donald trump,2,testB
74,[CLS] thinking about deactivating my personal facebook account 'cause it's too liberal for me. liberalism is a mental disorder. #semst [SEP] ,donald trump,2,testB
75,"[CLS] it disgusts me how the white house can easily pass same sex marriage, but not marijuana at the same time. #wakeandbake  #semst [SEP] ",donald trump,2,testB
76,[CLS] @jonathanhoenig why arent americans allowed weekly to vote on bills that are passed by the elite on behalf of the masses? #semst [SEP] ,donald trump,2,testB
77,[CLS] maybe i was wrong. the government will probably ban football because someone is offended by the violent nature of the game #semst [SEP] ,donald trump,2,testB
78,"[CLS] @galaxysojourn until their welfare is cut, their freebies taken away the #plantationparty will always vote dem #semst [SEP] ",donald trump,2,testB
79,"[CLS] we the people has become ""we the sheeple""  #semst [SEP] ",donald trump,2,testB
80,[CLS] white terrorism is alive and well #semst [SEP] ,donald trump,2,testB
81,[CLS] is one cup of coffee ever enough?! #coffee #semst [SEP] ,donald trump,2,testB
82,[CLS] of course @thejuanwilliams is completely wrong on the @scotus ruling on #obamacare . @michellefields is right! #semst [SEP] ,donald trump,2,testB
83,"[CLS] @michellefields ""it's not scotus' job to fix up congress's mess!"" #cashinin #semst [SEP] ",donald trump,2,testB
84,[CLS] @ericbolling let @michellefields loose on @thejuanwilliams when he makes idiotic unsubstantiated statements. #cashinin #semst [SEP] ,donald trump,2,testB
85,[CLS] @docweiser01 @ericbolling @jonathanhoenig @michellefields morning doc! (hugs) #semst [SEP] ,donald trump,2,testB
86,[CLS] @1962kiser @fanofgreenmms @ericbolling @jhodnot that's the one heard it causes sterilization in dem voters. err lab rats #semst [SEP] ,donald trump,2,testB
87,[CLS] @scotuscare penned by @chiefjusticejr  ends rule of law and freedom. what law will scotus  edit next? @rednationrising #semst [SEP] ,donald trump,2,testB
88,[CLS] whenever iran stalls  o's response is to make up new talking points! #semst [SEP] ,donald trump,2,testB
89,"[CLS] @ericbolling juan says status quo is not working. remember ""detente or mad? they worked! #semst [SEP] ",donald trump,2,testB
90,"[CLS] under o & kerry's deal, if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! period! #semst [SEP] ",donald trump,2,testB
91,[CLS] i really hate these stunts.  we already know how ignorant the post-reagan generations are.   #semst [SEP] ,donald trump,2,testB
92,"[CLS] and ask for handouts @jjauthor: when your family is short of money, do you take lib option to increase spending? #racism #semst [SEP] ",donald trump,2,testB
93,"[CLS] why does o refer to iran, hamas, ebola, and isis in dramatically less critical terms than he does republicans?"" #tcot #semst [SEP] ",donald trump,2,testB
94,[CLS] right on @ericbolling racial fatigue and real depression is running rampant in our country these days.  #semst [SEP] ,donald trump,2,testB
95,"[CLS] @ericbolling ""i'm suffering from a severe case of racial fatigue. #semst [SEP] ",donald trump,2,testB
96,[CLS] @ericbolling sorry you got shut down during the factor last night by a useless news break. the portion you aired was potent. #semst [SEP] ,donald trump,2,testB
97,"[CLS] matters more today, then last week or yesterday.  if you see something say something.  bad is not even a word yet. #semst [SEP] ",donald trump,2,testB
98,[CLS] @inmatemd @chucknellis @oh_marieloduca we can only hope #semst [SEP] ,donald trump,2,testB
99,[CLS] can we ask for equality in the usa and get rid of a confederate flag that has a ton of history ? meanwhile we have clowns like #semst [SEP] ,donald trump,2,testB
100,[CLS] the whole latino community will not be voting for #semst [SEP] ,donald trump,2,testB
101,"[CLS] irs + hillary both ""lost"" government emails: this situation is as clear as day - the #obama admin is destroying evidence! #semst [SEP] ",donald trump,2,testB
102,"[CLS] @realdonaldtrump you have a real shot at potus mr. t, the debates will be the true litmus test. #semst [SEP] ",donald trump,1,testB
103,[CLS] @waynedupreeshow  i'm just jealous that us normal hetero people don't have a flag or pride week or a parade #semst [SEP] ,donald trump,2,testB
104,[CLS] @colin_mcmanus7 2016 is the first election i can vote in and i am proudly voting for @realdonaldtrump #trumpforpresident #semst [SEP] ,donald trump,1,testB
105,[CLS] trump tower is not on fire. it is the avery building. the only trump fire is the one that i hand out when #yourefired #trumprules #semst [SEP] ,donald trump,1,testB
106,[CLS] rt @_cfj_: rt @bcwilliams92 let's get this clear! i did not i repeat did not vote on tpp  ~ ted cruz #cruzcrew... #semst [SEP] ,donald trump,2,testB
107,[CLS] imagine looking out at the world and the america obama has created while thinking things are better?  my god...  #tcot #pjnet #semst [SEP] ,donald trump,2,testB
108,[CLS] unfounded data/support for such drastic claims to be made against mexico & all its ppl sorry guys i guess i rape & sell drugs #semst [SEP] ,donald trump,0,testB
109,"[CLS] i love it when #conservatives say #government is #tyranny and out to get us, then in d next sentence say #supportourtroops : #semst [SEP] ",donald trump,2,testB
110,[CLS] i like many entries in the 2016 presidential race; but no one is more accomplished than donald trump. his cabinet will be full. #semst [SEP] ,donald trump,1,testB
111,[CLS] @jewtantandproud @tookymonster the new and cool meme is to post a video of you eating a banana. i will if you will! #bananavideo #semst [SEP] ,donald trump,2,testB
112,[CLS] rt @misssweets2: msm is defending a wht woman posing as blk & forgets about americans held in iran! time to #rednationrising... #semst [SEP] ,donald trump,2,testB
113,[CLS] @realdonaldtrump go get 'em mr. trump!!! #semst [SEP] ,donald trump,1,testB
114,[CLS] a vote against trump is a vote against america #semst [SEP] ,donald trump,1,testB
115,[CLS] rt @reel_fisherman6: i think donald would bring this country back to where we used to be #semst [SEP] ,donald trump,1,testB
116,"[CLS] my message to lgbt rights supporters: if you hate america, please leave. #semst [SEP] ",donald trump,2,testB
117,[CLS] @2afight all these shootings in america are planned. stay safe stay second amendment. illegal guns kill people way more wtf?!!! #semst [SEP] ,donald trump,2,testB
118,[CLS] i really hope @realdonaldtrump doesn't combover and shoot me with the pistol he's constantly packing.. #semst [SEP] ,donald trump,0,testB
119,"[CLS] for the record, as a #latino, (#peruvian to be specific), let me state the obvious: #fucktrump #semst [SEP] ",donald trump,0,testB
120,[CLS] @moneyforlies #lolz apparently you're unaware of history. what are you? six? or merely ignorant?  @thedemocrats  @mmfa  #semst [SEP] ,donald trump,2,testB
121,[CLS] @realdonaldtrump you're the man for the job #makeamericagreatagain #semst [SEP] ,donald trump,1,testB
122,[CLS] obama is liberalism's false idol. reject that p.o.s. #voteoutrino's #boycottmsnbc #votecruz #michelleobamaisaman #semst [SEP] ,donald trump,2,testB
123,[CLS] all #war is on you! the evil machine wants to control u. #tcot #tlot #dems #teaparty #occupy  #cdnpoli #privacy #love #art #semst [SEP] ,donald trump,2,testB
124,[CLS] @marypatriott @steph93065 @realjameswoods why not feed these disgusting s.o.b to the muslims they would love em. #semst [SEP] ,donald trump,2,testB
125,[CLS] @rene_gadecowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime #semst [SEP] ,donald trump,2,testB
126,[CLS] @realdonaldtrump we need someone like you who won't back down to anyone or anything #semst [SEP] ,donald trump,1,testB
127,[CLS] #lovewins ---> i'm hating the rainbow because of this!!#notogaymarriage #wakeuplebanon  #semst [SEP] ,donald trump,2,testB
128,[CLS] @chriswallace there may be 2000 nutjobs of that number and all they need to do is find eachother. the net has given that #fns #semst [SEP] ,donald trump,2,testB
129,[CLS] i can't believe how many followers i gained today  #semst [SEP] ,donald trump,2,testB
130,[CLS] @wpaulsen31 if a candidate seems to dumb to debate my paper boy hes not getting my vote #semst [SEP] ,donald trump,2,testB
131,[CLS] @haleyelenaa and his favourite beaches are probably in acapulco and cabo  #semst [SEP] ,donald trump,2,testB
132,[CLS] @geraldorivera @realdonaldtrump don't apologize for the truth. people are too sensitive. #makeamericagreatagain #semst [SEP] ,donald trump,1,testB
133,[CLS] everybody get on the trump train!! it's a first class one-way ticket to the white house with @realdonaldtrump  #semst [SEP] ,donald trump,1,testB
134,[CLS] time for texas & oklahoma to think about a no fault divorce from the divided states of america.   #tcot #ccot #tippingpoint #semst [SEP] ,donald trump,2,testB
135,[CLS] @forq2 i guess @realdonaldtrump really doesnt like or respect any politicians. .i respect him even more for that. #semst [SEP] ,donald trump,1,testB
136,"[CLS] ...and of course, god bless america!! #tcot  #teaparty  #semst [SEP] ",donald trump,2,testB
137,"[CLS] hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now #semst [SEP] ",donald trump,1,testB
138,"[CLS] in todays america, does honesty mean you are a bigot?  i hope not! @jonathanhoenig @judgejeanine #thefive #hannity #semst [SEP] ",donald trump,2,testB
139,[CLS] black lives only matter to politicians around election time. #semst [SEP] ,donald trump,2,testB
140,[CLS] 571 days left until obama leaves the white house. #semst [SEP] ,donald trump,2,testB
141,[CLS] trump believes in traditional marriage so strongly that he's been traditionally married 3x. he should teach a class or something. #semst [SEP] ,donald trump,0,testB
142,[CLS] @realdonaldtrump we need a president who cannot be bought. #semst [SEP] ,donald trump,1,testB
143,"[CLS] @kiddynamiteblog between #hillary2016 ""a sadistic psychiatric nurse let loose in a lunatic asylum"" & #bush16 ppl may vote #shit! #semst [SEP] ",donald trump,2,testB
144,[CLS] we have become a nation where decisions are based on feelings and not on facts.  #tcot #ycot #semst [SEP] ,donald trump,2,testB
145,[CLS] i admire how real and unapologetic donald trump is on his political standpoints #semst [SEP] ,donald trump,1,testB
146,[CLS] @thereaibanksy stop making racist peopld rich! #semst [SEP] ,donald trump,2,testB
147,"[CLS] be prepared - if we continue the policies of the liberal left, we will be #greece - #semst [SEP] ",donald trump,2,testB
148,[CLS] @realdonaldtrump probably because @jorgeramosnews had to change it after you published his old one on instagram #trumpthechump #semst [SEP] ,donald trump,0,testB
149,"[CLS] rt @bdckool: .@realdonaldtrump of you can do for america what you did for your businesses, you will secure my vote. #semst [SEP] ",donald trump,1,testB
150,[CLS] reminder: democrats stole  $716 billion from medicare f/ the elderly & gave it to medicaid to help pay for #obamacare. #semst [SEP] ,donald trump,2,testB
151,[CLS] @thehill you continue to shoot yourself in the foot. i guess this is for entertainment purposes only! #semst [SEP] ,donald trump,2,testB
152,[CLS] @realdonaldtrump i feel the train is gaining steam.  #semst [SEP] ,donald trump,1,testB
153,[CLS] @realdonaldtrump hell i'm from the uk and i believe @realdonaldtrump would make an amazing world leader #semst [SEP] ,donald trump,1,testB
154,[CLS] i'm confused?? an unarmed fugitive was shot this weekend while running from an officer.  no rioting? no dismissal? a hero?  #semst [SEP] ,donald trump,2,testB
155,[CLS] trump: chicago is a great city. i love spending time in my building. #semst [SEP] ,donald trump,2,testB
156,[CLS] @realdonaldtrump i recommend @seanhannity as sec of defense and @marklevinshow as your new atty general. #semst [SEP] ,donald trump,1,testB
157,[CLS] is #greece waking up to the disaster of #socialism and a world without borders? #semst [SEP] ,donald trump,2,testB
158,[CLS] really respect @realdonaldtrump for giving up #theapprentice to make way for his #campaign #americaneedsthis #godblessedamerica #semst [SEP] ,donald trump,1,testB
159,[CLS] this country doesnt have victories any more.  when is the last time we beat china in trade? #talkcityclub #semst [SEP] ,donald trump,2,testB
160,"[CLS] putting our marines on non us flagged ships would be against everything that is america, for gods sake end #progressivism #semst [SEP] ",donald trump,2,testB
161,[CLS] if the obama cabinet was on the apprentice who would you fire?  kerry was the answer. #talkcityclub #semst [SEP] ,donald trump,2,testB
162,"[CLS] .@robertthedeuce true, @obama @msnbcyourbiz @alancolmes doesn't care, it's not their money. wait-up greece, we're coming. #semst [SEP] ",donald trump,2,testB
163,[CLS] i guess nbc does not like to hear the truth. #semst [SEP] ,donald trump,1,testB
164,[CLS] y'all knew it was going to happen.  wasn't it just a matter of time?  #semst [SEP] ,donald trump,2,testB
165,[CLS] .@nbc ends relationship with @realdonaldtrump over his disgusting derogatory remarks. this man ha no place in the white house. #semst [SEP] ,donald trump,0,testB
166,[CLS] @realdonaldtrump is such an idiot. he's risking way to much for something he'll never get. #semst [SEP] ,donald trump,0,testB
167,"[CLS] so, donald gets fired, but reverend al is still employed. both are idiots. makes zero sense, #nbc #semst [SEP] ",donald trump,0,testB
168,"[CLS] props to @nbc, they are connected to telemundo. even more impressive they dumped trump after univision squabble. #dumptrump #semst [SEP] ",donald trump,0,testB
169,[CLS] i suddenly find myself liking @nbc a whole lot more than ever before.forpresidentoftheclubofidiots #semst [SEP] ,donald trump,0,testB
170,[CLS] will fox news pick up #missusa and #missuniverse?  stay tuned to find out.  #yourefired #nbc #foxnews #semst [SEP] ,donald trump,2,testB
171,[CLS] @politico is there anybody more sue happy than this fool? #trump #lawsuitabuse #semst [SEP] ,donald trump,0,testB
172,[CLS] hey #uniteblue look at #greece - that's america's future thanks to you and obama adding 8 triion in u.s. debt. #semst [SEP] ,donald trump,2,testB
173,[CLS] @realdonaldtrump he is a real leader and deserves to be president. #semst [SEP] ,donald trump,1,testB
174,[CLS] donald trump:  proof positive that gigantism is the last stage before extinction. #missusa #semst [SEP] ,donald trump,0,testB
175,[CLS] kudos to donald trump for telling off nbc. the media hates the gop's & will do anything to destroy them. #nbc #mediaatfault #semst [SEP] ,donald trump,1,testB
176,"[CLS] one of the key problems today is that politics is such a disgrace, good people don't go into government. - @realdonaldtrump #semst [SEP] ",donald trump,1,testB
177,"[CLS] really #donaldtrump, all mexican people are rapists, but you assume some are good people... #idiotnation #facepalm #semst [SEP] ",donald trump,0,testB
178,"[CLS] the left fear donald trump, big time! @realdonaldtrump  #semst [SEP] ",donald trump,1,testB
179,[CLS] @cvpayne @foxbusiness yup you got that right #semst [SEP] ,donald trump,2,testB
180,[CLS] #thefive geraldo is an ass and when he spews his leftist bs he makes me sick turning off the five #thefive #semst [SEP] ,donald trump,2,testB
181,[CLS] go back to focusing on brainless beauties... oh wait you can't cuz you've been fired #nbc #youlose #sorrynotsorry #semst [SEP] ,donald trump,0,testB
182,"[CLS] donald trump gets the boot from #nbc for calling immigrants rapists and murderers. hey donnie, where's your wife from again? #semst [SEP] ",donald trump,0,testB
183,[CLS] donald trump needs to stop embarrassing himself. racist assholes.... #semst [SEP] ,donald trump,0,testB
184,"[CLS] @mariolopezextra @nbc fires trump, but maintains strong ties with @bwilliams @thereval #laughable #joke #liars #nbc go #semst [SEP] ",donald trump,1,testB
185,[CLS] hey @mayorgregor thanks for letting a racist bigot build a giant tower with his name on it downtown. real proud of ya. #semst [SEP] ,donald trump,0,testB
186,[CLS] @roughhouse_ent who the hell wants to watch this without #semst [SEP] ,donald trump,2,testB
187,"[CLS] @realdonaldtrump i am sorry mexico sends people like dylan roof, mitchelle blair and david sweat to the usa. #enemywithin #semst [SEP] ",donald trump,0,testB
188,"[CLS] donald trump is in dire need of a crisis communicator. pr folks, please give him your two cents. #sorrynotsorry #semst [SEP] ",donald trump,0,testB
189,[CLS] donald trump is the man lets get this man in the white house!!! #semst [SEP] ,donald trump,1,testB
190,[CLS] @realjameswoods @loriblaney my parents warned me to stay away from anyone offering free candy. nothing is ever free.  #semst [SEP] ,donald trump,2,testB
191,[CLS] i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions #semst [SEP] ,donald trump,1,testB
192,"[CLS] holy shit ,the @realdonaldtrump is one looney mother fucker.  he'll never make it to the first debate #sideshow #semst [SEP] ",donald trump,0,testB
193,[CLS] i write separately to call attention to this court's threat to american democracy - #obergefellvhodges #americaisscrewed #semst [SEP] ,donald trump,2,testB
194,[CLS] i believe this september's blood moon portends a cataclysmic event. #christians  #semst [SEP] ,donald trump,2,testB
195,[CLS] more people should pay attention to the greek situation cuz it's the first dominoe to fall #grexit #tcot #semst [SEP] ,donald trump,2,testB
196,"[CLS] . @senatorkitchen @nbc how deeply offensive such comments are not only to mexican-americans, but latino americans in general. #semst [SEP] ",donald trump,0,testB
197,[CLS] mr. @realdonaldtrump   i appreciate you standing your ground as you've done.  i can say i've never felt better about voting. #semst [SEP] ,donald trump,1,testB
198,[CLS] the california draught is a myth created by the government. the point was to conserve water for use in the war against isis. #semst [SEP] ,donald trump,2,testB
199,[CLS] @ginnyquaglia well the rest of the majority had better get off their asses and get involved in this fight. #semst [SEP] ,donald trump,2,testB
200,[CLS] @realdonaldtrump really? the perfect definition of ignorance... the perfect example of someone who does not know reality... #semst [SEP] ,donald trump,0,testB
201,"[CLS] i'm sure the white euro people who moved to america when the land belonged to native americans were not good people either, #semst [SEP] ",donald trump,0,testB
202,[CLS] @potus the whole light thing with the people's house was disgraceful.  #semst [SEP] ,donald trump,2,testB
203,[CLS] he doesn't care & would have to give up tv gigs anyway to run... loves attention & controversy  #semst [SEP] ,donald trump,0,testB
204,"[CLS] july 4th occurs on ramadan. since 911, this is most concern i've seen fbi, homeland security and the police'- rep peter king #semst [SEP] ",donald trump,2,testB
205,"[CLS] do gay people understand that if #sharialaw comes, those marriage licenses target them for death? - dr. samm   #loveswins  #semst [SEP] ",donald trump,2,testB
206,"[CLS] after a major stroke, 4 years later i'm still waiting. 15 mil are getting  free what i work for my whole life. #semst [SEP] ",donald trump,2,testB
207,[CLS] @realdonaldtrump what nbc actually stands for....nothing but crap. #boycottnbc #semst [SEP] ,donald trump,1,testB
208,[CLS] @nbcuniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #yourefired #semst [SEP] ,donald trump,0,testB
209,"[CLS] @foxnation read my lips , "" i am nuts "" get out of people's personal life. #semst [SEP] ",donald trump,2,testB
210,[CLS] if trump could build the wall it would provide jobs & also b a tourist attraction & pay 4 itself legals arent the ones offended! #semst [SEP] ,donald trump,1,testB
211,"[CLS] @mikebates @bi_retailnews sickening, children are at the parades! bho has turn this country tolongest 6.6yrs of my life! #semst [SEP] ",donald trump,2,testB
212,[CLS] @realdonaldtrump you're fired! now get out of here! go!    #semst [SEP] ,donald trump,0,testB
213,[CLS] @harisstr howz greece heard u like to anal pound didnt think u were like that #semst [SEP] ,donald trump,2,testB
214,[CLS] donald trump is gonna end up like hitler #semst [SEP] ,donald trump,0,testB
215,"[CLS] @realdonaldtrump just so you know white people have more of a ""rapist"" title, than hispanics. #notbeingrasist #doresearch  #semst [SEP] ",donald trump,0,testB
216,[CLS] @christiec733  yes donald u r 100% correct' as long as u stay the coruse and don't pander to gop u got my vote #semst [SEP] ,donald trump,1,testB
217,"[CLS] that 5-mile run yesterday? yeah, we're feeling it this morning. #feelthebern #morecleverhashtags #semst [SEP] ",donald trump,2,testB
218,[CLS] america: isn't it time we ignored donald trump? he's not a serious person. @nypd should revoke his gun permit. #immigration #nbc #semst [SEP] ,donald trump,0,testB
219,[CLS] what is it with the pple who enjoy harassing me by writing captions on my photographs @lrihendry? #scientology    #hurtful #semst [SEP] ,donald trump,2,testB
220,[CLS] these noodles on my head are so hard to comb! #semst [SEP] ,donald trump,0,testB
221,"[CLS] @realdonaldtrump is not a pilitical puppet. maybe a piata, but definitely not a puppet. #semst [SEP] ",donald trump,0,testB
222,[CLS] donald trump is biff in the alternate universe 1985 in back to the future 2.   #biff #backtothefuture #semst [SEP] ,donald trump,0,testB
