,Query,Target,Stance,data_type
24,"[CLS] phew! am glad we came to our senses and worship a 2,000 year old carpenter. - bart simpson #jokes #semst [SEP] atheism [SEP]",atheism,0,testA
25,"[CLS] exo.28.12 - ...so that i, the lord, will always remember... #semst [SEP] atheism [SEP]",atheism,0,testA
26,"[CLS] #jagannathazad, a #hindu, was asked by founder of #pakistan to write the first national anthem. #semst [SEP] atheism [SEP]",atheism,0,testA
27,"[CLS] father, grant us grace to remain holy and a vessel of honour in ur house. #openheaven #nativarietysunday #sundaymorningshow #semst [SEP] atheism [SEP]",atheism,0,testA
28,"[CLS] who cares if this person or that person is xtian or atheist. polpott, hitler or mao.   god still does not exist.   #semst [SEP] atheism [SEP]",atheism,0,testA
29,[CLS] i still remember the days when i prayed god for strength.. then suddenly god gave me difficulties to make me strong. thank you god! #semst [SEP] atheism [SEP],atheism,0,testA
30,[CLS] you'll never know how much god can do in your life until you ask.  #lifechangingjourneywithjesus #semst [SEP] atheism [SEP],atheism,0,testA
31,[CLS] jesus response to a religious environment  was to create a royal environment.  it drove people nuts. still does - thank god #semst [SEP] atheism [SEP],atheism,0,testA
32,[CLS] sanctify them through thy truth: thy word is truth   john 17:17 kjv  #semst [SEP] atheism [SEP],atheism,0,testA
33,"[CLS] psalm 86:17 is. 7:14 god will give you a sign. ""father, within the next 3 days, show me a sign; a token. #semst [SEP] atheism [SEP]",atheism,0,testA
34,[CLS] the best #conspiracy of the world is #religion. #science #davincisdemons #semst [SEP] atheism [SEP],atheism,0,testA
35,[CLS] american conservatism has everything to do with religion with all the good stuff taking out of it. #semst [SEP] atheism [SEP],atheism,0,testA
36,[CLS] the #humanist church is the new cloth. #kissthering #tcot #semst [SEP] atheism [SEP],atheism,0,testA
37,"[CLS] you stay the same through the ages, your love never changes...your love never fails. #semst [SEP] atheism [SEP]",atheism,0,testA
38,[CLS] just know that you're not an accident and that you're here by his divine providence.  #tcot #pjnet #ccot #christian #semst [SEP] atheism [SEP],atheism,0,testA
39,"[CLS] i am addicted to your light.  everywhere i look you are there. i can feel your halo, i pray you won't fade away.   #semst [SEP] atheism [SEP]",atheism,0,testA
40,[CLS] faith sees beyond the difficulties and counts on god.  -colon smith #semst [SEP] atheism [SEP],atheism,0,testA
41,[CLS] watch @dame_lillard bring the blazers to the playoff #beast #semst [SEP] atheism [SEP],atheism,0,testA
42,[CLS] the irish national school system is secular under law. we can reaffirm secularism by going through the courts! @humanismireland #semst [SEP] atheism [SEP],atheism,0,testA
43,[CLS] we often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - charles spurgeon #god #semst [SEP] atheism [SEP],atheism,0,testA
44,"[CLS] @dsurman  jesus is favor of all, that they would believe he died for them. why try to wage a conflict you will lose? #god #semst [SEP] atheism [SEP]",atheism,0,testA
45,[CLS] currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #semst [SEP] atheism [SEP],atheism,0,testA
46,"[CLS] proud to be #teamjinnah :) no bhutto, no imran's , only jinnah's pakistan :) #inclusive #semst [SEP] atheism [SEP]",atheism,0,testA
47,[CLS] great baptism service at #woodgreen very moving stories of people's faith in #rich_lacey #semst [SEP] atheism [SEP],atheism,0,testA
48,[CLS] religious holidays should not be public. #rightsandrecourse #transformation #semst [SEP] atheism [SEP],atheism,0,testA
49,[CLS] i officiate #humanist & most #nonreligious weddings-starting at $99. ask me about #student discounts! #216 #celebrant #weddings #semst [SEP] atheism [SEP],atheism,0,testA
50,[CLS] rt @br_holden: religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker #semst [SEP] atheism [SEP],atheism,0,testA
51,[CLS] rt @br_holden: superstition-based thoughts tend to be wasted thoughts.  #freethinker #semst [SEP] atheism [SEP],atheism,0,testA
52,[CLS] rt @br_holden: just say no to superstitious thought in general and religions in particular.  #freethinker #semst [SEP] atheism [SEP],atheism,0,testA
53,[CLS] rt @br_holden: atheists have every right to exist in the public sphere.   #freethinker #semst [SEP] atheism [SEP],atheism,0,testA
54,"[CLS] rt @gmhumanistchoir: we're currently looking for new members to join our choir, all welcome, no auditions. #87rt #choir #manchest... #semst [SEP] atheism [SEP]",atheism,0,testA
55,[CLS] @rowdman53 atheist are offended with christian symbols  + only when when forced where they don't belong. #semst [SEP] atheism [SEP],atheism,0,testA
56,"[CLS] pushing beyond the absurd the light in darkened minds railing against ancient words seeking, honest, open it is truth we find. #semst [SEP] atheism [SEP]",atheism,0,testA
57,[CLS] your word has given me life -ps. 119:49-50 #semst [SEP] atheism [SEP],atheism,0,testA
58,[CLS] god gives us the right to do what we want; as long as we understand the outcomes of our actions. #spiritual #semst [SEP] atheism [SEP],atheism,0,testA
59,[CLS] the deeper i go with in- the deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- the deeper my  #semst [SEP] atheism [SEP],atheism,0,testA
60,[CLS] rt @faithsns716: psalm103:3-who forgives all your iniquities; who heals all your diseases #semst [SEP] atheism [SEP],atheism,0,testA
61,"[CLS] james 1:14 (#kjv) but every man is tempted, when he is drawn away of his own lust, and enticed.  #god #lord #christ #holy #spirit #semst [SEP] atheism [SEP]",atheism,0,testA
62,"[CLS] we are human. it is human nature to eat and drink ourselves destitute, fuck each other raw, and kill each other. #semst [SEP] atheism [SEP]",atheism,0,testA
63,"[CLS] rt @acatholicprayer: holy trinity, one god, have #mercy on us. #catholic #semst [SEP] atheism [SEP]",atheism,0,testA
64,[CLS] @ladylydiad when you become a father you realize that you are not the most important person in the room anymore.... your child is. #semst [SEP] atheism [SEP],atheism,0,testA
65,[CLS] is near where we will be told not 2 preach in the name acts 4:12 there is salvation in no 1 else...nlt #dcm2015 but #semst [SEP] atheism [SEP],atheism,0,testA
66,[CLS] what really builds a relationship is when we relate to what we don't understand about god.  #emunah #semst [SEP] atheism [SEP],atheism,0,testA
67,[CLS] i am human. i look forward to the extinction of humanity with eager anticipation. we deserve nothing less. #semst [SEP] atheism [SEP],atheism,0,testA
68,[CLS] moral relativism does not feed into democracy but rather it feeds into chaos #catholic #christian #liberal #progressive #secularist #semst [SEP] atheism [SEP],atheism,0,testA
69,[CLS] by faith we receive what christ did for us and we repent to show that we have received what he did. #repentance #atonement #semst [SEP] atheism [SEP],atheism,0,testA
70,[CLS] let your fear come upon every soul in my city -acts 2:43 #semst [SEP] atheism [SEP],atheism,0,testA
71,"[CLS] absolutely fucking sick & tired of the religious and their ""we're persecuted"" bollocks! so fucking what? pissoff! #semst [SEP] atheism [SEP]",atheism,1,testA
72,[CLS] in other related news. boko haram has killed over 200 people in the last 48hrs. #semst [SEP] atheism [SEP],atheism,2,testA
73,[CLS] join me on #periscope m-f @ 8am! #entrepreneurship #productivity #christianentrepreneurs #semst [SEP] atheism [SEP],atheism,0,testA
74,[CLS] praise and thank god for everything in your life today. #grateful #semst [SEP] atheism [SEP],atheism,0,testA
75,"[CLS] if jesus is present, it is impossible for your situation/environment to remain a desolate place! #joy #victory #newthings #sontalk #semst [SEP] atheism [SEP]",atheism,0,testA
76,"[CLS] heaven and earth will pass away, but my words will not pass away. matthew 24:35 #tworship #semst [SEP] atheism [SEP]",atheism,0,testA
77,[CLS] #kca #votejkt48id premierdigi: are facebook and twitter good places to defend your faith? how do you communicate?   #christianity #d... #semst [SEP] atheism [SEP],atheism,0,testA
78,"[CLS] @crownfmradio899 however impossible it may sound, i really would have loved to be like the lord #haveyoursay #semst [SEP] atheism [SEP]",atheism,0,testA
79,[CLS] imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #semst [SEP] atheism [SEP],atheism,1,testA
80,"[CLS] job said ""the thing i greatly feared has come upon me and that which i was afraid of has happened to me"" job 3:25  fear opens doors  #semst [SEP] atheism [SEP]",atheism,0,testA
81,"[CLS] jesus, you are my helper. help me to rest and trust in you and your finished work at the cross. amen. #semst [SEP] atheism [SEP]",atheism,0,testA
82,"[CLS] the lord is pleased w/every effort,even tiny,daily ones in which we strive to be more like him.~ezra taft benson  #lds #inspiration #semst [SEP] atheism [SEP]",atheism,0,testA
83,[CLS] i don't believe in the hereafter.  i believe in the here and now. #semst [SEP] atheism [SEP],atheism,1,testA
84,"[CLS] if you want to live as a healer, you must be willing to change places with those who are hurting. #god #semst [SEP] atheism [SEP]",atheism,0,testA
85,"[CLS] heb 10:12  this man, after he had offered one sacrifice for sins for ever, sat down on the right hand of god; #bible #semst [SEP] atheism [SEP]",atheism,0,testA
86,[CLS] sometimes it's the broken heart that finds the truest path to love. #semst [SEP] atheism [SEP],atheism,2,testA
87,[CLS] religious moderation is the product of secular knowledge and scriptural ignorance. - @samharrisorg  #semst [SEP] atheism [SEP],atheism,0,testA
88,"[CLS] remember, #god has it all worked out. #semst [SEP] atheism [SEP]",atheism,0,testA
89,[CLS] what we are is what we define the world to be. #existentialism #spirituality #semst [SEP] atheism [SEP],atheism,0,testA
90,[CLS] i'm making it happen tho  s/o to god . #patience #priorities #semst [SEP] atheism [SEP],atheism,0,testA
91,[CLS] yeah i think maybe words just stopped mattering #semst [SEP] atheism [SEP],atheism,2,testA
92,"[CLS] keep flowinz az da windz~ blend, bend and never break! #semst [SEP] atheism [SEP]",atheism,2,testA
93,[CLS] may the gods grant me many more freelance gigs in pdx #intention #semst [SEP] atheism [SEP],atheism,0,testA
94,"[CLS] @vicgreenaway so, why doesn't a hot air balloon pilot look down to horizon as he rises, rather than horizon being always eye level? #semst [SEP] atheism [SEP]",atheism,2,testA
95,[CLS] @narendramodi @pmoindia y politicians in d office can offer iftikar parties.. it is waste of tax payer money. #semst [SEP] atheism [SEP],atheism,2,testA
96,[CLS] he better chill with them retweets #semst [SEP] atheism [SEP],atheism,2,testA
97,"[CLS] i want to give the world a hug. a huge, huge hug. #human #4thofjuly #everyone #planetearth #semst [SEP] atheism [SEP]",atheism,2,testA
98,"[CLS] my son, be wise, and make my heart glad, that i may answer him that reproacheth me. proverbs 27:11 #semst [SEP] atheism [SEP]",atheism,0,testA
99,[CLS] had a great time @ worship rehearsal.cant wait till sunday ! #bridgechurch2015 #bridgelaunchteam #willacycounty #weloveyou #semst [SEP] atheism [SEP],atheism,0,testA
100,[CLS] every religion is good that teaches man to be good and i know of none that instructs him to be bad. ~thomas paine #semst [SEP] atheism [SEP],atheism,0,testA
101,[CLS] @godless_mom i like how jesus is reduced to appearing on toast and photoshopped images and they still praise it. #semst [SEP] atheism [SEP],atheism,1,testA
102,[CLS] @godless_mom @stereotypemepls @flypastafarian how come u never talk about the guy who raped his daughter for 18 years (por exemplo) #semst [SEP] atheism [SEP],atheism,2,testA
103,[CLS] life's just like a test to sort out the best from the unfit rest. #adversity #evolution #heaven #nirvana #valhalla #semst [SEP] atheism [SEP],atheism,2,testA
104,[CLS] hindus pay for muslim subsidy for haj..but need security from muslims to visit temples-amarnath yatra..   #hindusunderattack #semst [SEP] atheism [SEP],atheism,2,testA
105,[CLS] the greatest tragedy in life is the prayers that go unanswered because they go unasked. #ghlondon #semst [SEP] atheism [SEP],atheism,0,testA
106,[CLS] @faithmattersuk we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder #semst [SEP] atheism [SEP],atheism,1,testA
107,[CLS] we become what we worship. so be intentional in choosing what you worship for that is what you will become. #worship #semst [SEP] atheism [SEP],atheism,0,testA
108,"[CLS] steppin' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #semst [SEP] atheism [SEP]",atheism,0,testA
109,"[CLS] isaiah 43:15 i am the lord, your holy one, the creator of israel, your king. #god #semst [SEP] atheism [SEP]",atheism,0,testA
110,"[CLS] come to me, all you who are weary and burdened, and i will give you rest. - matt 11:28 #rest #peace #scripture #bible #semst [SEP] atheism [SEP]",atheism,0,testA
111,[CLS] from the end of the earth i call to you when my heart is faint; lead me to the rock that is higher than i psalm 61:2 nasb #heishigher #semst [SEP] atheism [SEP],atheism,0,testA
112,"[CLS] (2/2) the father's active goodness and unrestricted love. - ruthless trust by manning.... lord, may i forever trust your love for me. #semst [SEP] atheism [SEP]",atheism,0,testA
113,[CLS] best feeling is when you think you can't do it but you did! #will #semst [SEP] atheism [SEP],atheism,2,testA
114,"[CLS] bind up the wounds of those whose cry comes to you, o god, rising like a tide, whose hope is in you alone. #grace #semst [SEP] atheism [SEP]",atheism,0,testA
115,"[CLS] my jesus, i wish to do nothing but thy most holy will. #saint philip neri #catholic #semst [SEP] atheism [SEP]",atheism,0,testA
116,[CLS] @bjpscams @ani_news elections were nearing in bihar / up / tn so he may be so sickularism sorry #semst [SEP] atheism [SEP],atheism,2,testA
117,[CLS] jer 20:11 but the #lord is with me like a mighty warrior; so my persecutors will stumble and not prevail > #god #love #semst [SEP] atheism [SEP],atheism,0,testA
118,"[CLS] by accepting religion, you are pulling a big fuzz ball of superstition into your brain.  #freethinker #semst [SEP] atheism [SEP]",atheism,1,testA
119,"[CLS] i love god  but ""we get raped in life by demons and then judged for being negative and complaining"" by christians. #god #semst [SEP] atheism [SEP]",atheism,0,testA
120,"[CLS] as opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #semst [SEP] atheism [SEP]",atheism,1,testA
121,"[CLS] one nation on their knees, with blowjobs and semen for all. heavens to betsy! #religionisbullshit  #fyilive #semst [SEP] atheism [SEP]",atheism,1,testA
122,"[CLS] i hope for a time when schools teach 'ethics' instead of 'religion'. sure - inc faiths bt in a sociocultl, geopoliticl context #semst [SEP] atheism [SEP]",atheism,1,testA
123,[CLS] what other nation is so great as to have their gods near them the way the lord our god is near us whenever we pray to him? #eritrea #semst [SEP] atheism [SEP],atheism,0,testA
124,"[CLS] we have to #pray with our eyes on #god, not on the difficulties. request #godanswersprayers #semst [SEP] atheism [SEP]",atheism,0,testA
125,"[CLS] enough sneaking around, bringing in religious groups into #abed public #schools to access our kids in secrecy. #parents #sexed #semst [SEP] atheism [SEP]",atheism,1,testA
126,[CLS] @maisie_williams everyone feels that way at times. not just women #semst [SEP] atheism [SEP],atheism,2,testA
127,"[CLS] choose him who died so that you may live, over him who lives so that you may die.  - wtl apologetics  #deadtosin #aliveinchrist #semst [SEP] atheism [SEP]",atheism,0,testA
128,[CLS] @aigkenham @athe1stp0wer compromise your intentional ignorance all the way to freedom from religion. the best plan ever! #semst [SEP] atheism [SEP],atheism,0,testA
129,"[CLS] with #scotus done, it's time for @boyscouts to stop their bigoted practice of rejecting #lgbt scouts at age 18.  #equalityforall #semst [SEP] atheism [SEP]",atheism,2,testA
130,[CLS] subtract secularism from modern systems of superstition & you'll be left with the ancient anarchy of archaic theocracy.  #semst [SEP] atheism [SEP],atheism,1,testA
131,"[CLS] @flipflops i can confirm. they also worship #hitler, the atheist diety and inventor of #semst [SEP] atheism [SEP]",atheism,0,testA
132,"[CLS] mark 8.36-38.kjv  for what shall it profit a man, if he shall #gain the whole #world, and lose his own #soul?..."" #pray #love #semst [SEP] atheism [SEP]",atheism,0,testA
133,[CLS] why would i listen to someone that is not doing anything to better their life compared to a successful millionaire?#donaldtrump #acn #semst [SEP] atheism [SEP],atheism,2,testA
134,[CLS] question to the #religious folks out there who can't comprehend the universe having began without a god. where did god come from? #semst [SEP] atheism [SEP],atheism,1,testA
135,[CLS] @evrttbrd this is precious. omg go get em #europe4jesus #awakeningeurope #benfitz #bethel #paulyman #heidsbakes #father #jc #abba #semst [SEP] atheism [SEP],atheism,0,testA
136,[CLS] @movingdisaster @roomansi2010  believe and obey.  believe jesus is the messiah who saves us from sin by his death. obey acts 2:38-39. #semst [SEP] atheism [SEP],atheism,0,testA
137,"[CLS] if the governments of all countries were secular, the world would be a much different, probably better, place. realising this now. #semst [SEP] atheism [SEP]",atheism,1,testA
138,[CLS] @truthway_eng  jesus commands you to follow acts 2:38-39 to be saved. #christian #christ #mary #bible #church #trinity #usa #uk #aus #semst [SEP] atheism [SEP],atheism,0,testA
139,[CLS] what is the deal with #christian people always needing to feel like they are persecuted? #religiousfreedom #tcot #semst [SEP] atheism [SEP],atheism,1,testA
140,[CLS] patriotism and humanism are impossible for someone who takes #islam too seriously. #semst [SEP] atheism [SEP],atheism,1,testA
141,[CLS] bethany hamilton reveals she is resting in god's promises despite 'unknow #bible #biblestudy #scripture #christianity #christiannews #semst [SEP] atheism [SEP],atheism,0,testA
142,[CLS] while scientists fantasize about bugs i am considering gods.  ~~   #thelupol #theism #futurism #singularity #ancientaliens #semst [SEP] atheism [SEP],atheism,0,testA
143,"[CLS] #religions can't all be right, but they can all be wrong. #semst [SEP] atheism [SEP]",atheism,1,testA
144,"[CLS] no, i'm not calling myself ""agnostic"" because my atheism scares you and u dont know what words mean. #semst [SEP] atheism [SEP]",atheism,1,testA
145,[CLS] irony: when a #creationist tweets about #science being wrong on a device that couldn't have existed without it.  #semst [SEP] atheism [SEP],atheism,1,testA
146,"[CLS] husbands, love your wives, as christ loved the church and gave himself up for her, (ephesians 5:25 esv) #marriage #christian #semst [SEP] atheism [SEP]",atheism,0,testA
147,[CLS] @aclu get rid of religion... and all this will go away overnight... #humanist #egalitarian #semst [SEP] atheism [SEP],atheism,1,testA
148,[CLS] never debate with the devil... give him an instruction to get behind you!!  #semst [SEP] atheism [SEP],atheism,0,testA
149,[CLS] existing is something god have never been proficient at.  #semst [SEP] atheism [SEP],atheism,1,testA
150,"[CLS] beginning to wonder if rev. 13:17 mark, buying & selling is relevant ala corporations' behavior (civil war games), etc. #bible #semst [SEP] atheism [SEP]",atheism,0,testA
151,[CLS] when we have done all in our power that the lord will find a way to open doors. - spencer w. kimball #courage #hope #semst [SEP] atheism [SEP],atheism,0,testA
152,"[CLS] rt @xo_nayelashay: in love with gospel music .. heals my soul ,lifts my spirits, clears my mind & makes me appreciate what i do have. #semst [SEP] atheism [SEP]",atheism,0,testA
153,"[CLS] mark 6:35-36 my father, anything that has been scaring and hindering  good from coming my way, lord let it disappear #rccgtr #semst [SEP] atheism [SEP]",atheism,0,testA
154,[CLS] @pseud0_anon @suhaibsaqib1 very true. raising awareness and compassion is our goal. #semst [SEP] atheism [SEP],atheism,2,testA
155,"[CLS] i have my work and my faith... if that's boring to some people, i can't tell you how much i don't care. ~madonna ciccone #semst [SEP] atheism [SEP]",atheism,0,testA
156,[CLS] #hemamalini please think twice before giving a statement. a couple has lost their kid. please show some #semst [SEP] atheism [SEP],atheism,2,testA
157,"[CLS] how do they come up with this insanity? oh wait, they believe in a sky-god.  #fyilive, #semst [SEP] atheism [SEP]",atheism,1,testA
158,[CLS] @jaikrishnashree #italianchachi420 udf/ldf made #kerala the most backward southern state & cluelss #hindus keep voting #marxism #semst [SEP] atheism [SEP],atheism,2,testA
159,"[CLS] surely the sovereign lord does nothing without revealing his plan to his servants the prophets"" #amos3v7 #semst [SEP] atheism [SEP]",atheism,0,testA
160,[CLS] loving who i am! today was awesome because i enjoyed being me. can't nobody steal my joy! #selflove #motivated by #semst [SEP] atheism [SEP],atheism,2,testA
161,[CLS] proverbs 28:5 (kjv) evil men understand not judgment: but they that seek the lord understand all things. #heart #semst [SEP] atheism [SEP],atheism,0,testA
162,"[CLS] as always, please remember: fuck harper, fuck conservatives , fuck religion #fuckharper #ndp  #fuckcons #semst [SEP] atheism [SEP]",atheism,1,testA
163,[CLS] my prayer is that you live as long as you want and not want as long as you live. #longlife #semst [SEP] atheism [SEP],atheism,0,testA
164,"[CLS] i believe that ""sacred"" is an ap term to describe existence #celebrant #semst [SEP] atheism [SEP]",atheism,0,testA
165,[CLS] man this is going to test me..  giving all my prayers and questions to the lord and savior jesus christ.. he will guide me! #hope #semst [SEP] atheism [SEP],atheism,0,testA
166,[CLS] we'd like to welcome lucy dee to the atheist apocalypse team!   may god have mercy on your soul!   #god #mercy #podcast #semst [SEP] atheism [SEP],atheism,0,testA
167,[CLS] life certainly has a way of humbling you. this last year and a half has been filled with trials and tribulations. but god! #patience #semst [SEP] atheism [SEP],atheism,0,testA
168,[CLS] check out honest liar on netflix. james randi is amazing. #skeptic #semst [SEP] atheism [SEP],atheism,2,testA
169,[CLS] the experience of most lgbt people shows them that organised religion is often nothing but structured bullying. #semst [SEP] atheism [SEP],atheism,1,testA
170,"[CLS] just a reminder that humans do not need salvation. we need clean water, food, housing, healthcare, and education. #semst [SEP] atheism [SEP]",atheism,1,testA
171,"[CLS] jesus is not dead , he wasn't real !notdead #semst [SEP] atheism [SEP]",atheism,1,testA
172,[CLS] @foxnews @patriot_girl_tx @toddstarnes shame on @oregongovbrown for not stepping in to rescind this ruling! #disgusting #wrong #semst [SEP] atheism [SEP],atheism,2,testA
173,[CLS] @sensanders there's god. loving each other unconditionally is what matters. #semst [SEP] atheism [SEP],atheism,0,testA
174,[CLS] i think my username would be cool but now it looks stupid. #semst [SEP] atheism [SEP],atheism,2,testA
175,[CLS] @saberinze @thebricspost absurd like saying #nato membership will help #russia #pakistan is #islamist can't be friend of #india #semst [SEP] atheism [SEP],atheism,2,testA
176,"[CLS] lord, bring health and a cure to every area of my life, and give me the abundance of peace -jer. 33:6 #semst [SEP] atheism [SEP]",atheism,0,testA
177,"[CLS] this is love: not that we loved god, but that he loved us and sent his son as an atoning sacrifice for our sins. 1 john 4:10 #love #semst [SEP] atheism [SEP]",atheism,0,testA
178,[CLS] #islamicscholars have to re-think and to do research on this single but vital point. #pakistan #islam #holyquran #hadith #semst [SEP] atheism [SEP],atheism,0,testA
179,"[CLS] rt @paulgetter: when your past calls, don't answer. it has nothing new to say. #teamjesus #semst [SEP] atheism [SEP]",atheism,0,testA
180,[CLS] bless those with a broken soul #semst [SEP] atheism [SEP],atheism,0,testA
181,"[CLS] after hindu girls #sheila #munni and muslim #razia, it's time for christian #mary in the item song world. #bollywood #semst [SEP] atheism [SEP]",atheism,0,testA
182,"[CLS] ..    "" ""so decree whatever thou desirest to decree for thou canst only decree the life of this world #semst [SEP] atheism [SEP]",atheism,0,testA
183,[CLS] the enemy is not #muslims #christians or #judaism. the real enemy is extremism.  humans killing humans. #respectbeliefs #stopwar #semst [SEP] atheism [SEP],atheism,0,testA
184,[CLS] john 10:11 i am the good shepherd; the good shepherd lays down his life for the sheep. #god #christ #hallelujah #amen #semst [SEP] atheism [SEP],atheism,0,testA
185,[CLS] its really incredible how much this world needs the work of missionaries! #futuremissionary #lds #hope #shallnotfear #semst [SEP] atheism [SEP],atheism,0,testA
186,"[CLS] luke 11:5-9, 18:1-8 ""oh lord, avenge me of my adversary..."" #pstpeterock #empowermentservice #semst [SEP] atheism [SEP]",atheism,0,testA
187,"[CLS] god is good all of the time. all of the time, god is good! #yhwh #yeshua #god #semst [SEP] atheism [SEP]",atheism,0,testA
188,"[CLS] if god brought you to it , he'll bring you through it. #godknows #whathedoing #bepatient #trustandbelieve #semst [SEP] atheism [SEP]",atheism,0,testA
189,[CLS] that scriptures aunt just sent me was clutch!!!!  #semst [SEP] atheism [SEP],atheism,0,testA
190,[CLS] before i proceed in any direction...prayer has to lead me ..follow that and you can't fail  #startup  #thinkandgrowrich #semst [SEP] atheism [SEP],atheism,0,testA
191,"[CLS] the people who walk in darkness will see a great light; those who live in a dark land, the light will shine on them. isaiah 9:2 #semst [SEP] atheism [SEP]",atheism,0,testA
192,[CLS] sing unto the lord; for he hath done excellent things: this is known in all the earth - isaiah 12:5 #blessings #semst [SEP] atheism [SEP],atheism,0,testA
193,"[CLS] a gift from god, live your day responsibly and without regrets.     #amwriting #parenting #amreading #christianity #sports #semst [SEP] atheism [SEP]",atheism,0,testA
194,[CLS] azerbaijan: pray for president ilham aliyev's salvation. #vom #pray #semst [SEP] atheism [SEP],atheism,0,testA
195,[CLS] the #church is a hospital but the doctor is one: #christ!! #semst [SEP] atheism [SEP],atheism,0,testA
196,"[CLS] @ageoftheatheist ~ ""age of the #atheist"" where life has no purpose & no hope! #semst [SEP] atheism [SEP]",atheism,0,testA
197,[CLS] give us the gifts and graces to be your vessels. amen #semst [SEP] atheism [SEP],atheism,0,testA
198,"[CLS] in the big picture, religion is bad for society because it blunts reason.   #freethinker #semst [SEP] atheism [SEP]",atheism,1,testA
199,[CLS] when you get distinctions for half your modules but started studying the day before for each because of shoots. thank you father!!! #semst [SEP] atheism [SEP],atheism,2,testA
200,[CLS] religion has destroyed the ability for some to say know.   #semst [SEP] atheism [SEP],atheism,1,testA
201,[CLS] i pray for the best for everybody!!! #semst [SEP] atheism [SEP],atheism,0,testA
202,"[CLS] @brasilmagic @neiltyson there's no god 2b tired of, just tired o ppl believing in such nonsense. time 2 focus on reality, humanity #semst [SEP] atheism [SEP]",atheism,1,testA
203,[CLS] there are dreams and desires that #god has placed in your heartthey are a part of your divine destiny. #semst [SEP] atheism [SEP],atheism,0,testA
